title_text,title_url,green_line,doc_url,abstract
Mídia política e gênero: Dilma Rousseff e as mulheres políticas no noticiário,http://pantheon.ufrj.br/handle/11422/3162,CS Assis - 2011 - pantheon.ufrj.br,http://pantheon.ufrj.br/bitstream/11422/3162/4/CSAssis.pdf,"… política"" (MIGUEL, 2002: 17) … mais altos do Executivo a presença nos ambientes da
comunicação de massa é fundamental, já … (MIGUEL, 2002: 17). 9Disponível em
<http://www.youtube.com/watch?v=qJqD6SrrOA4>, acesso em 28/05/2011 … 
"
Mídia e construção de imagem pública: participação da presidente Dilma Rousseff no programa “Mais Você”,https://www.lume.ufrgs.br/handle/10183/111765,FP Brito - 2014 - lume.ufrgs.br,https://www.lume.ufrgs.br/bitstream/handle/10183/111765/000952929.pdf?sequence=1,"… debate, negociações e tomada de decisões relativas à vida pública do país” (MATOS, 2006,
p. 62) … 22 o voto o resultado final do processo de comunicação pública. 3.2 IMAGEM PÚBLICA
A imagem pública é, sem dúvida, parte inseparável da prática da política desde a … 
"
[PDF][PDF] Aulas-Espetáculo: Comunicação e Cultura Brasileira,http://portalintercom.org.br/anais/nacional2016/resumos/R11-1730-1.pdf,"RF FAJER, MP ARAUJO - portalintercom.org.br",http://portalintercom.org.br/anais/nacional2016/resumos/R11-1730-1.pdf,"… A política: lógica e método nas ciências sociais … Intercom – Sociedade Brasileira de Estudos
Interdisciplinares da Comunicação XXXIX Congresso Brasileiro de Ciências da Comunicação –
São Paulo - SP – 05 a 09 … Disponível em: <https://www.youtube.com/watch?v=fdIj4ryzOyo … 
"
“Moldado na luta e sentado no gabinete”: intermitências de uma trajetória política,https://periodicos.fclar.unesp.br/cadernos/article/view/8591,"KB Bobadilla - Cadernos de Campo: Revista de Ciências …, 2016 - periodicos.fclar.unesp.br",https://periodicos.fclar.unesp.br/cadernos/article/download/8591/6108,"… as lideranças cumpririam um papel de mediação, o qual pre- sume trocas, comunicação e
intercâmbio … Tem um vídeo no Youtube do Leonardo Boff falando disso, do tipo 'se você faz …
aproximação com o PT, pelo relacionamento com lideranças da Igreja e da política aqui na … 
"
[PDF][PDF] Eduardo Campos e Marina Silva: a “nova política” entre o drama e a esperança,http://www.academia.edu/download/39711512/Artigo_Marcia_Amazonas_Monteiro_-_seminArio_1.pdf,MA Monteiro - academia.edu,http://www.academia.edu/download/39711512/Artigo_Marcia_Amazonas_Monteiro_-_seminArio_1.pdf,"… Grupo de Pesquisa da Comunicação e Sociedade do Espetáculo 3º Seminário Comunicação
e Política na Sociedade do … campos-e-entrevistado-no-jornal- nacional/3559937 Participação
de Eduardo Campos no Jornal das Dez (12/08/2014) http://www.youtube.com/watch?v … 
"
[PDF][PDF] REALIZAÇÃO AUDIOVISUAL EM UM CONTEXTO DE EDUCAÇÃO POPULAR E COMUNICAÇÃO POPULAR: APROPRIAÇÃO DOS MEIOS E CONSTRUÇÃO …,http://33reuniao.anped.org.br/33encontro/app/webroot/files/file/Trabalhos%20em%20PDF/GT06-6282--Int.pdf,EG Dutra - 33reuniao.anped.org.br,http://33reuniao.anped.org.br/33encontro/app/webroot/files/file/Trabalhos%20em%20PDF/GT06-6282--Int.pdf,"… http://www.youtube.com/user/djalmacine2008#p/a/u/2/tcVyqglcQao … de ordem política e passam
pela organização e pela participação popular e que a tecnologia … Além de estabelecer uma
comunicação direta, ativa e propositiva entre espectadores e atores.” (http://www.ctorio … 
"
Ciberdemocracia no judiciário: uso de mapas como política de virtualização,https://repositorio.ufsc.br/handle/123456789/129267,GMCA Freire - 2014 - repositorio.ufsc.br,https://repositorio.ufsc.br/bitstream/handle/123456789/129267/329203.pdf?sequence=1,"… UFSC – Universidade Federal de Santa Catarina UNESCO - Organização das Nações Unidas
para a Educação, a Ciência e a Cultura Page 19. SUMÁRIO … engendrada pelas formas de
comunicação e interação ubíquas. Neste capítulo também será … Nesse sentido, a política … 
"
[PDF][PDF] Ambientalismo e comunicação política: media e empowerment tecnológico enquanto condição de influência política exógena,http://repositorio.ul.pt/bitstream/10451/7506/1/ulsd063365_td_Pedro_Neto.pdf,PMP Neto - 2012 - repositorio.ul.pt,http://repositorio.ul.pt/bitstream/10451/7506/1/ulsd063365_td_Pedro_Neto.pdf,"… Pedro Miguel Pereira Neto Doutoramento em Ciências Sociais (Sociologia Política) …
participação directa em processos de negociação e/ou tomada de decisão política - podem
ser … Na base 2 Page 14. Ambientalismo e comunicação política … 
"
"[PDF][PDF] ENTRE MUROS E LARES: TV, POLÍTICA E COTIDIANO NO BRASIL CONTEMPORÂNEO",http://universidadetuiuti.utp.br/historia/Tcc/Revista2_historia/pdf/5_murilo_cleto.pdf,MP Cleto - universidadetuiuti.utp.br,http://universidadetuiuti.utp.br/historia/Tcc/Revista2_historia/pdf/5_murilo_cleto.pdf,"… preocupação em mantê-los, num olhar claramente voltado à publicidade e também à política.
Em 1968, 44,5% dos investimentos publicitários em veículos de comunicação se concentraram
na … Criados o Ministério das Comunicações e, logo depois, a Asses- soria Especial de … 
"
Feminismo online em Portugal,http://comum.rcaap.pt/handle/10400.26/21355,"L Marôpo, MT Silva, M Magalhães - … e Cidadania-Livro de Atas do …, 2017 - comum.rcaap.pt",https://comum.rcaap.pt/bitstream/10400.26/21355/1/Feminismo%20online%20em%20Portugal%20-%20pp.%20280-293.pdf,"… Nesta perspetiva, as redes sociais online (Twitter, Facebook, YouTube, Instagram, entre outras)
são vistas como … A Sociedade em Rede: do conhecimento à acção política … Comunicação
apresentada no XVII Congresso de Ciências da Comunicação na Região Sul – Intercom … 
"
