title_text,title_url,green_line,doc_url,abstract
Desenvolvimento de identidade visual no meio online para propaganda politica,http://repositorio.roca.utfpr.edu.br/jspui/handle/1/2959,"<div class=""gs_a"">CHBR Oliveira - 2013 - repositorio.roca.utfpr.edu.br</div>",http://repositorio.roca.utfpr.edu.br/jspui/bitstream/1/2959/1/CT_DADIN_2012_2_01.pdf,"… Youtube da Instituição … frente às novas formas de comunicação ambientadas na internet … Page
28. 28 Perspectiva convencional da Ciência Política prevê associação forte entre educação
e comportamentos políticos desejáveis para a convivência democrática … 
"
# BHNASRUAS: UMA ANÁLISE DO CONFRONTO POLÍTICO CONTEMPORÂNEO A PARTIR DE PÁGINAS DO FACEBOOK”,https://revistas.ufpr.br/politica/article/view/48546,"<div class=""gs_a""><a href=""/citations?user=8zCArj0AAAAJ&amp;hl=pt-BR&amp;oi=sra"">MAS Ferreira</a> - Revista Eletrônica de <b>Ciência Política</b>, 2016 - revistas.ufpr.br</div>",https://revistas.ufpr.br/politica/article/download/48546/30053,"… Instagram, YouTube entre outros) durante os protestos, sendo parte fundamental para mobilização
e articulação desses atos … tecnologias de comunicação social, que tornam possível o
compartilhamento e … de Junho de 2013 e seus desdobramentos na vida política brasileira … 
"
A construção da imagem de Hugo Chávez por documentários,https://repositorio.ufscar.br/handle/ufscar/10368,"<div class=""gs_a"">GP Paiva - 2017 - repositorio.ufscar.br</div>",https://repositorio.ufscar.br/bitstream/handle/ufscar/10368/disserta%C3%A7%C3%A3o%20Gabriela%20Pandel%C3%B3.pdf?sequence=1,"… Com uma representação midiática conflitante diante de diversos meios de comunicação ao redor
do mundo, o … contribuição na ampliação do debate em torno de temas relacionados à sociedade …
um Estado que deriva sua legitimidade e suas instituições da igualdade política … 
"
[PDF][PDF] NOVAS FRONTEIRAS DA POLÍTICA NA ERA DIGITAL,http://cipes.ulusofona.pt/wp-content/uploads/sites/137/2018/10/NovasFronteirasDaPoliticaNaEraDigital_ebook.pdf,"<div class=""gs_a"">JDEA SANTOS - cipes.ulusofona.pt</div>",http://cipes.ulusofona.pt/wp-content/uploads/sites/137/2018/10/NovasFronteirasDaPoliticaNaEraDigital_ebook.pdf,"… Nesta nova fase evolutiva dos sistemas sociais e da democracia, ganha novo significado e
enquadramento a questão da hegemonia, que tem andado tão arredada do debate político e
dos … O processo de desintermediação da política e da comunicação é progressivo e … 
"
"Participação, deliberação online e internet: o potencial do votenaweb",https://repositorio.unesp.br/handle/11449/156261,"<div class=""gs_a"">LA Zanetti - 2017 - repositorio.unesp.br</div>",https://repositorio.unesp.br/bitstream/handle/11449/156261/000894588.pdf?sequence=1,"… vista visibilidade midiática e exercer pressão política. Como exemplo do terceiro nível … governos
ditatoriais e censura dos veículos de comunicação de massa, incitando o país … Twitter, Tumblr,
Instagram e Youtube colaboram para a disseminação de informação e … 
"
A política e as redes sociais: o uso do Facebook pelos movimentos independentes na campanha para as eleições autárquicas de 2017,https://repositorium.sdum.uminho.pt/handle/1822/60700,"<div class=""gs_a"">RRM Maia - 2019 - repositorium.sdum.uminho.pt</div>",https://repositorium.sdum.uminho.pt/bitstream/1822/60700/1/Rute%20Rita%20Moreira%20Maia.pdf,"… no Instagram, no Youtube e no Meo Kanal” (Moreira e Morgado, 2014:117) … informação relevante
não distorcida, ou seja, “o livre acesso aos espaços de debate” (Canavilhas, 2009:3). A dinâmica
da comunicação política contemporânea – entendida como o produto da … 
"
"[PDF][PDF] CONSERVADORISMO, FEMINISMO E O JUDICIÁRIO COMO ARENA EM DISPUTA: DEBATE SOBRE ABORTO",https://www.researchgate.net/profile/Maria_Ligia_Elias/publication/325824375_CONSERVADORISMO_FEMINISMO_E_O_JUDICIARIO_COMO_ARENA_EM_DISPUTA_DEBATE_SOBRE_ABORTO_WORKING_PAPER/links/5b59c769aca272a2d66ca21b/CONSERVADORISMO-FEMINISMO-E-O-JUDICIARIO-COMO-ARENA-EM-DISPUTA-DEBATE-SOBRE-ABORTO-WORKING-PAPER.pdf,"<div class=""gs_a"">MLGGR Elias - researchgate.net</div>",https://www.researchgate.net/profile/Maria_Ligia_Elias/publication/325824375_CONSERVADORISMO_FEMINISMO_E_O_JUDICIARIO_COMO_ARENA_EM_DISPUTA_DEBATE_SOBRE_ABORTO_WORKING_PAPER/links/5b59c769aca272a2d66ca21b/CONSERVADORISMO-FEMINISMO-E-O-JUDICIARIO-COMO-ARENA-EM-DISPUTA-DEBATE-SOBRE-ABORTO-WORKING-PAPER.pdf,"… https://www.youtube.com/watch?v=D9gSL77PjQw … Pesquisa conduzida pelo Instituto da
Democracia e da Democratização da Comunicação, parte do Programa de Institutos Nacionais
de Ciência e Tecnologia (INCT) … capacidade de articulação e resistência política feminista … 
"
Perform yourself: a performance art no youtube,http://www.teses.usp.br/teses/disponiveis/27/27156/tde-01122015-095523/en.php,"<div class=""gs_a""><a href=""/citations?user=G4yMt-AAAAAJ&amp;hl=pt-BR&amp;oi=sra"">AP Bertelli</a> - teses.usp.br</div>",http://www.teses.usp.br/teses/disponiveis/27/27156/tde-01122015-095523/publico/ANITAPRESSERBERTELLI.pdf,"… O slogan do site denuncia qual é de fato o grande atrativo: “Broadcast Yourself”
(“Transmita-se”). O You-Tube é … Vemos que em redes sociais como o YouTube essa prática de
si é feita com … na política, na tentativa de suprir a demanda gerada pelo subjetivismo e a falta … 
"
""" Os assuntos que discutimos são a cara da nossa luta"": um estudo antropológico dos debates feministas em meio às possibilidades de sociabilidade online",https://www.lume.ufrgs.br/handle/10183/81403,"<div class=""gs_a"">NACO Silveira - 2013 - lume.ufrgs.br</div>",https://www.lume.ufrgs.br/bitstream/handle/10183/81403/000904847.pdf?sequence=1,"… A formação de tal ideal, contudo, “não constitui um fato irredutível, que escapa à ciência;
depende de condições que a observação pode alcançar; é um … rede de computadores
interligados se tornou meio de comunicação livre, e manifestação política … 
"
"[PDF][PDF] Da “doutrinação marxista” à"" ideologia de gênero""-Escola Sem Partido e as leis da mordaça no parlamento brasileiro",https://www.redalyc.org/pdf/3509/350947688019.pdf,"<div class=""gs_a""><a href=""/citations?user=s6oXgzYAAAAJ&amp;hl=pt-BR&amp;oi=sra"">LF Miguel</a> - Revista Direito e Práxis, 2016 - redalyc.org</div>",https://www.redalyc.org/pdf/3509/350947688019.pdf,"… Essa sofisticada percepção da luta política se torna, nas mãos de seus … Aquino, 2015), agora
a autoria foi modificada para “Comunicação Millenium” – certamente porque se percebeu a
contradição entre o combate à … O debate está disponível em https://www.youtube.com/watch … 
"
[PDF][PDF] Debate público y webs de candidatos: la participación de los electores a través de los comentarios durante la campaña de 2014 en Brasil,https://www.researchgate.net/profile/Eva_Campos-Dominguez/publication/303324547_Debate_publico_y_webs_de_candidatos_la_participacion_de_los_electores_a_traves_de_los_comentarios_durante_la_campana_de_2014_en_Brasil/links/573cd4c908ae298602e593df.pdf,"<div class=""gs_a""><a href=""/citations?user=PaQVrdcAAAAJ&amp;hl=pt-BR&amp;oi=sra"">MG Massuchin</a>… - Anais de IV Congresso da …, 2015 - researchgate.net</div>",https://www.researchgate.net/profile/Eva_Campos-Dominguez/publication/303324547_Debate_publico_y_webs_de_candidatos_la_participacion_de_los_electores_a_traves_de_los_comentarios_durante_la_campana_de_2014_en_Brasil/links/573cd4c908ae298602e593df.pdf,"… concepto más sencillo de participación ya que muestra solo contenido de reafirmación de su
candidato o posición política … caso de Marina Silva, un 62,8%. Esto sería una participación muy
limitada en el debate electoral porque no se plantean más debates, además de … 
"
